"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"rnd-1_family-222#LINE/Penelope",35.5624783275756,-0.492756418958803,0.558675493564565,1.22038512916409,0.748119382310908,0.810313159897106
"rnd-1_family-872#Unknown",1.26341103108753,2.8166311799044,3.16489626646237,1.20079476285561,0.752813701005847,NA
"rnd-1_family-156#Unknown",0.672998231211376,3.11328172172818,4.16936384420046,1.19986049900755,0.753037769952606,NA
"rnd-1_family-680#Unknown",24.089265185036,0.191232683726549,0.634160500434367,1.18698532497708,0.756127430971115,0.817766756922043
"rnd-1_family-426#Unknown",25.354474257077,-0.607165497100019,0.60155131286231,1.18665004483869,0.75620793093972,0.817766756922043
"rnd-6_family-191#LTR/Gypsy",13.3707829043655,-0.799022483870586,0.813252183431624,1.18292521611547,0.757102395578587,0.81808113716825
"rnd-6_family-510#Unknown",1.76142673452801,-0.802234262672007,2.6119502045891,1.17750455839598,0.758404548534102,0.818595446421777
"rnd-1_family-605#LINE/CR1",7.11648029189315,-0.485316418645618,1.25276689912119,1.17447307403599,0.759133006014835,0.818595446421777
"rnd-4_family-173#LINE/CR1",18.8864669100927,0.513689528821974,0.775390384120889,1.17340060299475,0.759390757307877,0.818595446421777
"rnd-1_family-520#Unknown",7.43838603010369,-0.497462408157938,1.23089041663567,1.16812234635339,0.760659597639862,0.819311410812411
"rnd-6_family-340#Unknown",0.686046096663549,2.66117989527232,3.65900990962388,1.16383771625941,0.761689935097351,NA
"rnd-5_family-268#Satellite",135.923391179853,0.00370500382787392,0.368277307613509,1.15704761747502,0.763323403633207,0.821527571027002
"rnd-4_family-316#Unknown",0.546934109400842,-0.832429548360294,4.99742379390412,1.15590237690129,0.763598984811031,NA
"rnd-1_family-629#LINE/CR1",30.1418675841241,0.326339903626695,0.895639448694502,1.1305891209299,0.769695347883558,0.827727933636683
"rnd-1_family-463#Unknown",3.41046759222593,-1.61764549571327,1.79840787679542,1.12467289140489,0.771121534563488,0.828328913359412
"rnd-1_family-227#Unknown",142.005555187803,-0.15840016008895,0.384312652896713,1.12319937841973,0.77147681819895,0.828328913359412
"rnd-5_family-77#LINE/CR1",0.911692781348921,-2.88615465654435,3.98881019961605,1.1208569460299,0.772041668871735,NA
"rnd-5_family-362#Unknown",251.878135176674,-0.0128122795683336,0.374198726904404,1.11888454795756,0.772517345391676,0.828789392720286
"rnd-1_family-955#DNA/Ginger",46.7830317927919,0.539884196191406,0.536719809313139,1.11382268491271,0.773738324001682,0.829442586251803
"rnd-1_family-544#Unknown",6.50417033036767,1.04028451367203,1.45415787833299,1.11098524231205,0.774422886185552,0.829520166625631
"rnd-1_family-898#Unknown",0.965666429695584,3.01498897726193,4.4094794710169,1.09194270781361,0.779019493586927,NA
"rnd-3_family-91#Unknown",0.945395997118458,-2.88737113367594,3.95885608990914,1.08719783828284,0.780165440804305,NA
"rnd-1_family-150#LINE/RTE-BovB",84.4099397262251,0.156917827849217,0.439846179973839,1.08018309130215,0.781859989019664,0.836634569267407
"rnd-1_family-697#LINE/Penelope",65.2982018562067,0.0158009883223549,0.541870779247202,1.07836345716518,0.782299630451516,0.836634569267407
"rnd-1_family-551#Unknown",0.965115641089982,1.28194699808485,3.47199482395575,1.06911910024829,0.784533593423446,NA
"rnd-1_family-911#Unknown",0.70816059680588,-0.832453483206654,4.95626088043019,1.06731498969173,0.784969649713504,NA
"rnd-5_family-75#LINE/CR1",8.09251365905165,-1.1626514070539,1.27077381392366,1.05702242295506,0.78745783465003,0.841486881664661
"rnd-5_family-315#Unknown",0.632303934195203,2.66183623913314,3.76479675467046,1.05619829844527,0.787657094729234,NA
"rnd-1_family-309#Unknown",0.600676271869188,-0.832442002490564,4.99742379385566,1.05162274463451,0.788763467989696,NA
"rnd-4_family-166#Unknown",0.600676271869188,-0.832442002490564,4.99742379385566,1.05162274463451,0.788763467989696,NA
